Project Name,Package Name,Architecture Smell,Cause of the Smell
rxjava,hu.akarnokd.rxjava,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 37
rxjava,hu.akarnokd.rxjava,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [OnSubscribeSumDouble]; [OnSubscribeSumDouble.SumDoubleSubscriber; ScalarDeferredSubscriber; OnSubscribeSumFloat.SumFloatSubscriber; OnSubscribeSumLong.SumLongSubscriber; OnSubscribeSumInt.SumIntSubscriber; OnSubscribeMinMax.MinMaxSubscriber]; [ShareLatest]; [ThrottleFirstExample]; [EmitterTest]; [SingleAsync]; [OnSubscribeSumLong]; [ActionInBetween]; [DebounceFirst]; [OperatorSum; MathObservable; OperatorMinMax; OnSubscribeMinMax]; [GroupByTest2]; [OnSubscribeSumInt]; [Example]; [MethodDiff]; [EmitterTestv2]; [TransactionSubjectPlaypen]; [TransactionSubjectPlaypen.ExceptionType]; [TransactionSubjectPlaypen.TestTransactionObserver]; [TransactionSubjectPlaypen.TestTransaction]; [SubscriberReuse]; [ConditionalCompactedStream]; [ConditionalCompactedStream.ConditionalCompactor]; [ConditionalCompactedStream.ConditionalCompactorSubscriber]; [TrackSubscriber1]; [TrackSubscriber1.SignalTracker]; [CompletableFlatMapSingleToCompletable]; [CompletableFlatMapSingleToCompletable.SourceSubscriber]; [Merge4691]; [OnSubscribeSumFloat]. LCC (Lack of Component Cohesion) = 0.78
