Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
rxjava,hu.akarnokd.rxjava,TransactionSubjectPlaypen.TestTransactionObserver,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rxjava,hu.akarnokd.rxjava,TransactionSubjectPlaypen.TestTransaction,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
